265997,伊曼德拉,Имандра,Russia,lake
166162,奥涅加,Онежское,Russia,lake
233071,汉泰,Хантайское,Russia,lake
245763,奥特拉德诺耶,Отрадное,Russia,lake
117036,绍托泽罗,Шотозеро,Russia,lake
143785,克烈季,Кереть,Russia,lake
1280250,尼季利,Недели,Russia,lake
1286772,奎托,Куйто,Russia,lake
1265476,斯维季亚济,Свитязь,Ukraine,lake
5513,贝加尔,Байкал,Russia,lake
199230,丘克恰吉尔斯科耶,Чукчагирское,Russia,lake
200818,沃德洛泽罗,Водлозеро,Russia,lake
201843,兴凯,Ханка,Russia,lake
15288,拉多加,Ладожское,Russia,lake
5633,维什蒂蒂斯,Виштынецкое,Russia,lake
1315765,维戈泽罗,Выгозеро,Russia,lake
203462,伊尔门,Ильмень,Russia,lake
217109,捷列茨科耶,Телецкое,Russia,lake
19253,楚德,Псковско-Чудское,Russia,lake
50836,维亚利耶,Вялье,Russia,lake
50869,奥尔林斯科耶,Орлинское,Russia,lake
1723900,卡诺泽罗,Канозеро,Russia,lake
1739762,克泽诺亚姆,Кезенойам,Russia,lake
1739872,克塔,Кета,Russia,lake
1747079,科尔维茨科耶,Колвицкое,Russia,lake
980065,斯努德,Снуды,Belarus,lake
997762,普列谢耶沃,Плещеево,Russia,lake
1066964,乔洛埃,Тёплое,Russia,lake
1076270,萨普绍,Сапшо,Russia,lake
1091822,谢苗诺夫斯科耶,Семёновское,Russia,lake
1091879,基利金斯科耶,Кильдинское,Russia,lake
1112351,韦利埃,Вельё,Russia,lake
1112632,伏尔加,Волго,Russia,lake
1101008,埃利通,Эльтон,Russia,lake
1107544,克里沃耶,Кривое,Russia,lake
1108063,帕维隆,Павылон,Russia,lake
1108073,伊利尔格特金,Илиргыткин,Russia,lake
1108335,丘科奇耶,Чукочье,Russia,lake
1109799,久普昆,Дюпкун,Russia,lake
1110298,阿拉赫列伊,Арахлей,Russia,lake
1112333,昆加萨拉赫,Кунгасалах,Russia,lake
1112700,弗谢卢格,Вселуг,Russia,lake
1115605,帕利埃奥泽罗,Пальеозеро,Russia,lake
1115650,乌宾斯科耶,Убинское,Russia,lake
1115661,桑达尔,Сандал,Russia,lake
1115680,大托科,Большое Токо,Russia,lake
1115810,克罗诺基,Кроноцкое,Russia,lake
1120394,科科罗,Кокора,Russia,lake
1144905,普斯科夫,Псковское,Russia,lake
1188040,库尼贡达,Синевир,Ukraine,lake
1192041,布罗斯诺,Бросно,Russia,lake
1194106,列佩利,Лепельское,Belarus,lake
373732,拉查,Лача,Russia,lake
393977,博金斯基,Богинское,Belarus,lake
518319,格卢博科耶,Глубокое,Russia,lake
533151,伊特科利,Иткуль,Russia,lake
573134,图洛斯,Тулос,Russia,lake
658234,涅罗,Неро,Russia,lake
671989,古西诺耶,Гусиное,Russia,lake
675234,苏奥,Суоярви,Russia,lake
709323,托波泽罗,Топозеро,Russia,lake
718192,哈桑,Хасан,Russia,lake
1474939,谢伊多泽罗,Сейдозеро,Russia,lake
1342950,恩戈泽罗,Энгозеро,Russia,lake
1400480,伊尔佳亚什,Иртяш,Russia,lake
1416209,谢戈泽罗,Сегозеро,Russia,lake
1435837,纽克,Нюк,Russia,lake
1458409,皮亚奥泽罗,Пяозеро,Russia,lake
730166,托列-霍利,Торе-Холь,Russia,lake
731761,库伦达,Кулундинское,Russia,lake
739577,朱卢库利,Джулукуль,Russia,lake
